City Id,State,State Abbreviation,Municipality,Link
1,Alabama,AL,Auburn,https://www.hrc.org/resources/municipalities/auburn-al-3
2,Alabama,AL,Birmingham,https://www.hrc.org/resources/municipalities/birmingham-al-3
3,Alabama,AL,Florence,https://www.hrc.org/resources/municipalities/florence-al-3
4,Alabama,AL,Hoover,https://www.hrc.org/resources/municipalities/hoover-al-3
5,Alabama,AL,Huntsville,https://www.hrc.org/resources/municipalities/huntsville-al-3
6,Alabama,AL,Mobile,https://www.hrc.org/resources/municipalities/mobile-al-3
7,Alabama,AL,Montgomery,https://www.hrc.org/resources/municipalities/montgomery-al-3
8,Alabama,AL,Tuscaloosa,https://www.hrc.org/resources/municipalities/tuscaloosa-al-3
9,Alaska,AK,Anchorage,https://www.hrc.org/resources/municipalities/anchorage-ak-3
10,Alaska,AK,Fairbanks,https://www.hrc.org/resources/municipalities/fairbanks-ak-3
11,Alaska,AK,Homer,https://www.hrc.org/resources/municipalities/homer-ak-3
12,Alaska,AK,Juneau,https://www.hrc.org/resources/municipalities/juneau-ak-3
13,Alaska,AK,Ketchikan,https://www.hrc.org/resources/municipalities/ketchikan-ak-3
14,Alaska,AK,Sitka,https://www.hrc.org/resources/municipalities/sitka-ak-3
15,Alaska,AK,Wasilla,https://www.hrc.org/resources/municipalities/wasilla-ak-3
16,Arizona,AZ,Avondale,https://www.hrc.org/resources/municipalities/avondale-az-3
17,Arizona,AZ,Chandler,https://www.hrc.org/resources/municipalities/chandler-az-3
18,Arizona,AZ,Flagstaff,https://www.hrc.org/resources/municipalities/flagstaff-az-3
19,Arizona,AZ,Gilbert,https://www.hrc.org/resources/municipalities/gilbert-az-3
20,Arizona,AZ,Glendale,https://www.hrc.org/resources/municipalities/glendale-az-3
21,Arizona,AZ,Mesa,https://www.hrc.org/resources/municipalities/mesa-az-3
22,Arizona,AZ,Peoria,https://www.hrc.org/resources/municipalities/peoria-az-3
23,Arizona,AZ,Phoenix,https://www.hrc.org/resources/municipalities/phoenix-az-3
24,Arizona,AZ,Scottsdale,https://www.hrc.org/resources/municipalities/scottsdale-az-3
25,Arizona,AZ,Tempe,https://www.hrc.org/resources/municipalities/tempe-az-3
26,Arizona,AZ,Tucson,https://www.hrc.org/resources/municipalities/tucson-az-3
27,Arkansas,AR,Conway,https://www.hrc.org/resources/municipalities/conway-ar-3
28,Arkansas,AR,Eureka Springs,https://www.hrc.org/resources/municipalities/eureka-springs-ar-3
29,Arkansas,AR,Fayetteville,https://www.hrc.org/resources/municipalities/fayetteville-ar-3
30,Arkansas,AR,Fort Smith,https://www.hrc.org/resources/municipalities/fort-smith-ar-3
31,Arkansas,AR,Jonesboro,https://www.hrc.org/resources/municipalities/jonesboro-ar-3
32,Arkansas,AR,Little Rock,https://www.hrc.org/resources/municipalities/little-rock-ar-3
33,Arkansas,AR,North Little Rock,https://www.hrc.org/resources/municipalities/north-little-rock-ar-3
34,Arkansas,AR,Springdale,https://www.hrc.org/resources/municipalities/springdale-ar-3
35,California,CA,Anaheim,https://www.hrc.org/resources/municipalities/anaheim-ca-3
36,California,CA,Bakersfield,https://www.hrc.org/resources/municipalities/bakersfield-ca-3
37,California,CA,Berkeley,https://www.hrc.org/resources/municipalities/berkeley-ca-3
38,California,CA,Brisbane,https://www.hrc.org/resources/municipalities/brisbane-ca-3
39,California,CA,Cathedral City,https://www.hrc.org/resources/municipalities/cathedral-city-ca-3
40,California,CA,Chula Vista,https://www.hrc.org/resources/municipalities/chula-vista-ca-3
41,California,CA,Concord,https://www.hrc.org/resources/municipalities/concord-ca-3
42,California,CA,Corona,https://www.hrc.org/resources/municipalities/corona-ca-3
43,California,CA,Elk Grove,https://www.hrc.org/resources/municipalities/elk-grove-ca-3
44,California,CA,Escondido,https://www.hrc.org/resources/municipalities/escondido-ca-3
45,California,CA,Fontana,https://www.hrc.org/resources/municipalities/fontana-ca-3
46,California,CA,Fremont,https://www.hrc.org/resources/municipalities/fremont-ca-3
47,California,CA,Fresno,https://www.hrc.org/resources/municipalities/fresno-ca-3
48,California,CA,Fullerton,https://www.hrc.org/resources/municipalities/fullerton-ca-3
49,California,CA,Garden Grove,https://www.hrc.org/resources/municipalities/garden-grove-ca-3
50,California,CA,Glendale,https://www.hrc.org/resources/municipalities/glendale-ca-3
51,California,CA,Guerneville Sonoma County,https://www.hrc.org/resources/municipalities/guerneville-sonoma-county-ca-3
52,California,CA,Hayward,https://www.hrc.org/resources/municipalities/hayward-ca-3
53,California,CA,Huntington Beach,https://www.hrc.org/resources/municipalities/huntington-beach-ca-3
54,California,CA,Irvine,https://www.hrc.org/resources/municipalities/irvine-ca-3
55,California,CA,Lancaster,https://www.hrc.org/resources/municipalities/lancaster-ca-3
56,California,CA,Long Beach,https://www.hrc.org/resources/municipalities/long-beach-ca-3
57,California,CA,Los Angeles,https://www.hrc.org/resources/municipalities/los-angeles-ca-3
58,California,CA,Modesto,https://www.hrc.org/resources/municipalities/modesto-ca-3
59,California,CA,Moreno Valley,https://www.hrc.org/resources/municipalities/moreno-valley-ca-3
60,California,CA,Oakland,https://www.hrc.org/resources/municipalities/oakland-ca-3
61,California,CA,Oceanside,https://www.hrc.org/resources/municipalities/oceanside-ca-3
62,California,CA,Ontario,https://www.hrc.org/resources/municipalities/ontario-ca-3
63,California,CA,Orange,https://www.hrc.org/resources/municipalities/orange-ca-3
64,California,CA,Oxnard,https://www.hrc.org/resources/municipalities/oxnard-ca-3
65,California,CA,Palm Desert,https://www.hrc.org/resources/municipalities/palm-desert-ca-3
66,California,CA,Palm Springs,https://www.hrc.org/resources/municipalities/palm-springs-ca-3
67,California,CA,Palmdale,https://www.hrc.org/resources/municipalities/palmdale-ca-3
68,California,CA,Pasadena,https://www.hrc.org/resources/municipalities/pasadena-ca-3
69,California,CA,Pomona,https://www.hrc.org/resources/municipalities/pomona-ca-3
70,California,CA,Rancho Cucamonga,https://www.hrc.org/resources/municipalities/rancho-cucamonga-ca-3
71,California,CA,Rancho Mirage,https://www.hrc.org/resources/municipalities/rancho-mirage-ca-3
72,California,CA,Richmond,https://www.hrc.org/resources/municipalities/richmond-ca-3
73,California,CA,Riverside,https://www.hrc.org/resources/municipalities/riverside-ca-3
74,California,CA,Sacramento,https://www.hrc.org/resources/municipalities/sacramento-ca-3
75,California,CA,Salinas,https://www.hrc.org/resources/municipalities/salinas-ca-3
76,California,CA,San Bernardino,https://www.hrc.org/resources/municipalities/san-bernardino-ca-3
77,California,CA,San Diego,https://www.hrc.org/resources/municipalities/san-diego-ca-3
78,California,CA,San Francisco,https://www.hrc.org/resources/municipalities/san-francisco-ca-3
79,California,CA,San Jose,https://www.hrc.org/resources/municipalities/san-jose-ca-3
80,California,CA,Santa Ana,https://www.hrc.org/resources/municipalities/santa-ana-ca-3
81,California,CA,Santa Clarita,https://www.hrc.org/resources/municipalities/santa-clarita-ca-3
82,California,CA,Santa Monica,https://www.hrc.org/resources/municipalities/santa-monica-ca-3
83,California,CA,Santa Rosa,https://www.hrc.org/resources/municipalities/santa-rosa-ca-3
84,California,CA,Signal Hill,https://www.hrc.org/resources/municipalities/signal-hill-ca-3
85,California,CA,Stockton,https://www.hrc.org/resources/municipalities/stockton-ca-3
86,California,CA,Sunnyvale,https://www.hrc.org/resources/municipalities/sunnyvale-ca-3
87,California,CA,Thousand Oaks,https://www.hrc.org/resources/municipalities/thousand-oaks-ca-3
88,California,CA,Torrance,https://www.hrc.org/resources/municipalities/torrance-ca-3
89,California,CA,Vallejo,https://www.hrc.org/resources/municipalities/vallejo-ca-3
90,California,CA,Visalia,https://www.hrc.org/resources/municipalities/visalia-ca-3
91,California,CA,West Hollywood,https://www.hrc.org/resources/municipalities/west-hollywood-ca-3
92,Colorado,CO,Aspen,https://www.hrc.org/resources/municipalities/aspen-co-3
93,Colorado,CO,Aurora,https://www.hrc.org/resources/municipalities/aurora-co-3
94,Colorado,CO,Boulder,https://www.hrc.org/resources/municipalities/boulder-co-3
95,Colorado,CO,Colorado Springs,https://www.hrc.org/resources/municipalities/colorado-springs-co-3
96,Colorado,CO,Denver,https://www.hrc.org/resources/municipalities/denver-co-3
97,Colorado,CO,Fort Collins,https://www.hrc.org/resources/municipalities/fort-collins-co-3
98,Colorado,CO,Lakewood,https://www.hrc.org/resources/municipalities/lakewood-co-3
99,Colorado,CO,Littleton,https://www.hrc.org/resources/municipalities/littleton-co-3
100,Connecticut,CT,Bridgeport,https://www.hrc.org/resources/municipalities/bridgeport-ct-3
101,Connecticut,CT,Fairfield,https://www.hrc.org/resources/municipalities/fairfield-ct-3
102,Connecticut,CT,Hartford,https://www.hrc.org/resources/municipalities/hartford-ct-3
103,Connecticut,CT,New Britain,https://www.hrc.org/resources/municipalities/new-britain-ct-3
104,Connecticut,CT,New Haven,https://www.hrc.org/resources/municipalities/new-haven-ct-3
105,Connecticut,CT,Norwalk,https://www.hrc.org/resources/municipalities/norwalk-ct-3
106,Connecticut,CT,Stamford,https://www.hrc.org/resources/municipalities/stamford-ct-3
107,Connecticut,CT,Storrs Mansfield,https://www.hrc.org/resources/municipalities/storrs-mansfield-ct-3
108,Connecticut,CT,Waterbury,https://www.hrc.org/resources/municipalities/waterbury-ct-3
109,Delaware,DE,Bethany Beach,https://www.hrc.org/resources/municipalities/bethany-beach-de-3
110,Delaware,DE,Dover,https://www.hrc.org/resources/municipalities/dover-de-3
111,Delaware,DE,Middletown,https://www.hrc.org/resources/municipalities/middletown-de-3
112,Delaware,DE,Milford,https://www.hrc.org/resources/municipalities/milford-de-3
113,Delaware,DE,Newark,https://www.hrc.org/resources/municipalities/newark-de-3
114,Delaware,DE,Rehoboth Beach,https://www.hrc.org/resources/municipalities/rehoboth-beach-de-3
115,Delaware,DE,Smyrna,https://www.hrc.org/resources/municipalities/smyrna-de-3
116,Delaware,DE,Wilmington,https://www.hrc.org/resources/municipalities/wilmington-de-3
117,Florida,FL,Cape Coral,https://www.hrc.org/resources/municipalities/cape-coral-fl-3
118,Florida,FL,Coral Gables,https://www.hrc.org/resources/municipalities/coral-gables-fl-3
119,Florida,FL,Daytona Beach,https://www.hrc.org/resources/municipalities/daytona-beach-fl-3
120,Florida,FL,Fort Lauderdale,https://www.hrc.org/resources/municipalities/fort-lauderdale-fl-3
121,Florida,FL,Gainesville,https://www.hrc.org/resources/municipalities/gainesville-fl-3
122,Florida,FL,Hialeah,https://www.hrc.org/resources/municipalities/hialeah-fl-3
123,Florida,FL,Hollywood,https://www.hrc.org/resources/municipalities/hollywood-fl-3
124,Florida,FL,Jacksonville,https://www.hrc.org/resources/municipalities/jacksonville-fl-3
125,Florida,FL,Miami Shores,https://www.hrc.org/resources/municipalities/miami-shores-fl-3
126,Florida,FL,Miami,https://www.hrc.org/resources/municipalities/miami-fl-3
127,Florida,FL,Oakland Park,https://www.hrc.org/resources/municipalities/oakland-park-fl-3
128,Florida,FL,Orlando,https://www.hrc.org/resources/municipalities/orlando-fl-3
129,Florida,FL,Pembroke Pines,https://www.hrc.org/resources/municipalities/pembroke-pines-fl-3
130,Florida,FL,Port Saint Lucie,https://www.hrc.org/resources/municipalities/port-saint-lucie-fl-3
131,Florida,FL,St. Petersburg,https://www.hrc.org/resources/municipalities/st.-petersburg-fl-3
132,Florida,FL,Tallahassee,https://www.hrc.org/resources/municipalities/tallahassee-fl-3
133,Florida,FL,Tampa,https://www.hrc.org/resources/municipalities/tampa-fl-3
134,Florida,FL,Wilton Manors,https://www.hrc.org/resources/municipalities/wilton-manors-fl-3
135,Georgia,GA,Athens Clarke County,https://www.hrc.org/resources/municipalities/athens-clarke-county-ga-3
136,Georgia,GA,Atlanta,https://www.hrc.org/resources/municipalities/atlanta-ga-3
137,Georgia,GA,Augusta Richmond County,https://www.hrc.org/resources/municipalities/augusta-richmond-county-ga-3
138,Georgia,GA,Avondale Estates,https://www.hrc.org/resources/municipalities/avondale-estates-ga-3
139,Georgia,GA,Columbus,https://www.hrc.org/resources/municipalities/columbus-ga-3
140,Georgia,GA,Decatur,https://www.hrc.org/resources/municipalities/decatur-ga-3
141,Georgia,GA,North Druid Hills Dekalb County,https://www.hrc.org/resources/municipalities/north-druid-hills-dekalb-county-ga-3
142,Georgia,GA,Roswell,https://www.hrc.org/resources/municipalities/roswell-ga-3
143,Georgia,GA,Sandy Springs,https://www.hrc.org/resources/municipalities/sandy-springs-ga-3
144,Georgia,GA,Savannah,https://www.hrc.org/resources/municipalities/savannah-ga-3
145,Hawaii,HI,Hawaii County,https://www.hrc.org/resources/municipalities/hawaii-county-hi-3
146,Hawaii,HI,Honolulu County,https://www.hrc.org/resources/municipalities/honolulu-county-hi-3
147,Hawaii,HI,Kalawao County,https://www.hrc.org/resources/municipalities/kalawao-county-hi-3
148,Hawaii,HI,Kauai County,https://www.hrc.org/resources/municipalities/kauai-county-hi-3
149,Hawaii,HI,Maui County,https://www.hrc.org/resources/municipalities/maui-county-hi-3
150,Idaho,ID,Boise,https://www.hrc.org/resources/municipalities/boise-id-3
151,Idaho,ID,Coeur Dalene,https://www.hrc.org/resources/municipalities/coeur-dalene-id-3
152,Idaho,ID,Idaho Falls,https://www.hrc.org/resources/municipalities/idaho-falls-id-3
153,Idaho,ID,Meridian,https://www.hrc.org/resources/municipalities/meridian-id-3
154,Idaho,ID,Moscow,https://www.hrc.org/resources/municipalities/moscow-id-3
155,Idaho,ID,Nampa,https://www.hrc.org/resources/municipalities/nampa-id-3
156,Idaho,ID,Pocatello,https://www.hrc.org/resources/municipalities/pocatello-id-3
157,Illinois,IL,Aurora,https://www.hrc.org/resources/municipalities/aurora-il-3
158,Illinois,IL,Carbondale,https://www.hrc.org/resources/municipalities/carbondale-il-3
159,Illinois,IL,Champaign,https://www.hrc.org/resources/municipalities/champaign-il-3
160,Illinois,IL,Chicago,https://www.hrc.org/resources/municipalities/chicago-il-3
161,Illinois,IL,Joliet,https://www.hrc.org/resources/municipalities/joliet-il-3
162,Illinois,IL,Naperville,https://www.hrc.org/resources/municipalities/naperville-il-3
163,Illinois,IL,Peoria,https://www.hrc.org/resources/municipalities/peoria-il-3
164,Illinois,IL,Rockford,https://www.hrc.org/resources/municipalities/rockford-il-3
165,Illinois,IL,Springfield,https://www.hrc.org/resources/municipalities/springfield-il-3
166,Indiana,IN,Bloomington,https://www.hrc.org/resources/municipalities/bloomington-in-3
167,Indiana,IN,Evansville,https://www.hrc.org/resources/municipalities/evansville-in-3
168,Indiana,IN,Fort Wayne,https://www.hrc.org/resources/municipalities/fort-wayne-in-3
169,Indiana,IN,Hammond,https://www.hrc.org/resources/municipalities/hammond-in-3
170,Indiana,IN,Indianapolis,https://www.hrc.org/resources/municipalities/indianapolis-in-3
171,Indiana,IN,Muncie,https://www.hrc.org/resources/municipalities/muncie-in-3
172,Indiana,IN,South Bend,https://www.hrc.org/resources/municipalities/south-bend-in-3
173,Indiana,IN,Terre Haute,https://www.hrc.org/resources/municipalities/terre-haute-in-3
174,Indiana,IN,West Lafayette,https://www.hrc.org/resources/municipalities/west-lafayette-in-3
175,Iowa,IA,Ames,https://www.hrc.org/resources/municipalities/ames-ia-3
176,Iowa,IA,Cedar Rapids,https://www.hrc.org/resources/municipalities/cedar-rapids-ia-3
177,Iowa,IA,Davenport,https://www.hrc.org/resources/municipalities/davenport-ia-3
178,Iowa,IA,Des Moines,https://www.hrc.org/resources/municipalities/des-moines-ia-3
179,Iowa,IA,Dubuque,https://www.hrc.org/resources/municipalities/dubuque-ia-3
