City Id,City,State,Non-Discrimination Laws,Municipality as Employer,Municipal Services,Law Enforcement,Leadership on LGBTQ+ Equality,Flex Points,Total Score
1,Auburn,AL,0,17,0,12,0,2,31
2,Birmingham,AL,30,23,12,22,8,5,100
3,Florence,AL,0,0,0,12,0,0,12
4,Hoover,AL,0,0,0,12,0,0,12
5,Huntsville,AL,0,14,0,12,0,0,26
6,Mobile,AL,10,7,7,12,0,0,36
7,Montgomery,AL,0,14,5,10,7,2,38
8,Tuscaloosa,AL,10,21,0,12,1,0,44
9,Anchorage,AK,30,20,7,12,8,23,100
10,Fairbanks,AK,30,15,5,12,4,0,66
11,Homer,AK,30,0,0,0,4,0,34
12,Juneau,AK,30,22,10,22,8,8,100
13,Ketchikan,AK,30,22,0,12,4,30,98
14,Sitka,AK,30,0,0,0,5,30,65
15,Wasilla,AK,30,0,0,12,0,0,42
16,Avondale,AZ,10,14,5,22,3,3,57
17,Chandler,AZ,30,23,10,22,3,8,96
18,Flagstaff,AZ,30,23,10,22,6,9,100
19,Gilbert,AZ,10,14,10,22,6,15,77
20,Glendale,AZ,30,22,10,22,7,6,97
21,Mesa,AZ,30,22,10,22,8,8,100
22,Peoria,AZ,10,9,5,22,0,6,52
23,Phoenix,AZ,30,23,12,22,7,6,100
24,Scottsdale,AZ,30,23,10,22,7,8,100
25,Tempe,AZ,30,23,12,22,8,5,100
26,Tucson,AZ,30,23,7,22,7,11,100
27,Conway,AR,0,14,0,12,0,0,26
28,Eureka Springs,AR,30,14,0,0,4,0,48
29,Fayetteville,AR,0,15,0,17,6,3,41
30,Fort Smith,AR,0,14,0,12,0,2,28
31,Jonesboro,AR,0,0,0,0,0,0,0
32,Little Rock,AR,0,21,5,10,7,4,47
33,North Little Rock,AR,0,0,0,0,0,0,0
34,Springdale,AR,0,0,0,12,0,0,12
35,Anaheim,CA,30,20,7,12,4,7,80
36,Bakersfield,CA,30,7,5,12,0,4,58
37,Berkeley,CA,30,25,5,22,8,10,100
38,Brisbane,CA,30,20,0,12,3,6,71
39,Cathedral City,CA,30,28,5,22,7,8,100
40,Chula Vista,CA,30,28,10,22,7,3,100
41,Concord,CA,30,22,0,12,4,27,95
42,Corona,CA,30,20,0,12,0,4,66
43,Elk Grove,CA,30,28,10,22,6,4,100
44,Escondido,CA,30,13,0,22,0,7,72
45,Fontana,CA,30,6,0,12,0,4,52
46,Fremont,CA,30,22,12,17,6,12,99
47,Fresno,CA,30,28,5,22,5,10,100
48,Fullerton,CA,30,20,5,12,0,6,73
49,Garden Grove,CA,30,7,5,12,0,4,58
50,Glendale,CA,30,20,5,12,0,5,72
51,Guerneville Sonoma County,CA,30,0,7,0,0,4,41
52,Hayward,CA,30,23,5,12,3,4,77
53,Huntington Beach,CA,30,7,7,12,0,5,61
54,Irvine,CA,30,28,12,22,8,0,100
55,Lancaster,CA,30,8,10,12,0,6,66
56,Long Beach,CA,30,28,10,22,8,2,100
57,Los Angeles,CA,30,26,12,22,8,2,100
58,Modesto,CA,30,20,5,12,2,5,74
59,Moreno Valley,CA,30,14,0,12,0,4,60
60,Oakland,CA,30,28,5,22,8,7,100
61,Oceanside,CA,30,23,10,22,7,8,100
62,Ontario,CA,30,6,0,12,2,6,56
63,Orange,CA,30,20,5,12,0,4,71
64,Oxnard,CA,30,7,5,12,1,6,61
65,Palm Desert,CA,30,28,5,22,5,10,100
66,Palm Springs,CA,30,28,10,22,8,2,100
67,Palmdale,CA,30,28,12,12,2,16,100
68,Pasadena,CA,30,28,10,12,7,13,100
69,Pomona,CA,30,26,0,12,0,6,74
70,Rancho Cucamonga,CA,30,20,0,12,0,5,67
71,Rancho Mirage,CA,30,28,5,22,6,9,100
72,Richmond,CA,30,26,7,22,7,6,98
73,Riverside,CA,30,28,12,22,5,3,100
74,Sacramento,CA,30,28,5,22,8,7,100
75,Salinas,CA,30,26,0,12,0,26,94
76,San Bernardino,CA,30,7,0,12,1,4,54
77,San Diego,CA,30,28,12,22,8,0,100
78,San Francisco,CA,30,28,7,22,8,5,100
79,San Jose,CA,30,26,12,22,8,2,100
